,ISBN,bookTitle,yearOfPublication,publisher
159308,393323137,Mauve: How One Man Invented a Color That Changed the World,2002,W. W. Norton  Company
159309,312863098,The Wages of Fame,1998,Forge
159310,385148054,The Officers' Wives,1981,Bantam Dell Pub Group
159311,895872889,Ghost Dogs of the South,2003,John F. Blair Publisher
159312,895872293,Ghost Dogs of the South,2001,John F. Blair Publisher
159313,895870649,Mountain Ghost Stories and Curious Tales of Western North Carolina,1988,John F. Blair Publisher
159314,399143009,From a Sealed Room,1998,Putnam Publishing Group
159315,042517641X,From a Sealed Room,2000,Berkley Publishing Group
159316,399141030,Sister Brother: Gertrude and Leo Stein,1996,Putnam Pub Group
159317,747534896,Sister Brother,0,Trafalgar Square
159318,899194427,Genet: A Biography of Janet Flanner,1989,Houghton Mifflin
159319,1893896846,Chasing The Shadows,2002,Imajinn Books
159324,1893896927,Circle of Desire,2003,Imajinn Books
159329,1893896358,Memory Zero,2004,Imajinn Books
159334,1893896218,KISS THE NIGHT GOOD-BYE,2004,ImaJinn Publishing
159339,1893896595,Dancing with the Devil,2001,Imajinn Books
159344,1900097230,The X-Files 3: The Haunting (The X-Files),1996,Titan Books
159345,1900097249,The X-Files Digest: Dead to the World (The X-Files),1996,Titan Books
159347,8478447385,La Leyenda de Los Pendragon,2004,Siruela
159348,194227030,Mary Queen of Scots (Bookworms),1992,Oxford University Press
159351,194229408,The Elephant Man: Level 1 (Oxford Bookworms Library),2000,Oxford University Press
159354,1400032903,Bangkok 8 (Vintage),2004,Vintage Books USA
159355,688147747,The Last Six Million Seconds: A Thriller,1997,Harpercollins
159356,688143997,A Personal History of Thirst,1996,William Morrow
159358,553295187,Wicked Company: A Novel of the Eighteenth Century,2000,Bantam Books
159360,670408581,Sharing Parenthood After Divorce,1982,Penguin USA
159362,044900273X,Island of the Swans,1998,Ivy Books
159364,553275984,Island of the Swans,1992,Bantam Books
159366,964894238,The Forever Kiss,2004,Red Sage Pub Inc
159368,425196844,Jane's Warlord (Berkley Sensation),2004,Berkley Publishing Group
159370,778320820,Me &amp; Emma,2005,Mira
159372,1551667274,But Inside I'm Screaming,2003,Mira Books
159374,373770073,The Stone Prince (Hqn Books),2004,HQN Books
159380,505526018,Forced Mate,2004,Love Spell
159381,312327129,Singled Out,2004,Thomas Dunne Books
159382,446614866,The Red Diary,2004,Warner Forever
159385,373250665,Summer In The Land Of Skin (Red Dress Ink),2004,Red Dress Ink
159387,050552600X,Lauren's Eyes,2004,Dorchester Publishing Company
159388,312332459,Tonight I Said Goodbye (Lincoln Perry),2004,St. Martin's Minotaur
159389,843953721,Devil's Bargain,2004,Leisure Books
159390,399151842,Amagansett,2004,Putnam Publishing Group
159391,874061326,The Scariest Stories You've Ever Heard,1988,Pages Publishing Group
159393,3499232510,Die FlÃ?Â¼chtige.,2002,Rowohlt Tb.
159394,184195408X,Missing,2003,Canongate Pub.
159395,3499229463,Schuld.,2001,Rowohlt Tb.
159396,3805206984,Die FlÃ?Â¼chtige.,2001,Wunderlich im Rowohlt
159397,451459849,Heat Stroke (Weather Warden Series Book 2),2004,Roc
159403,451459873,Blood Rites (The Dresden Files Series Book 6),2004,Roc
159409,441011993,Furies Of Calderon,2004,Ace
159416,446670588,Official Slacker Handbook,1994,Warner Books
159417,765310015,Gardens of the Moon : Book One of the Malazan Book of the Fallen (Malazan Book of the Fallen),2004,Tor Books
159422,441011594,Iron Sunrise,2004,Ace Books
159427,441010725,Singularity Sky,2003,Ace Books
159432,1587154137,Toast: And Other Rusted Futures,2002,Cosmos Books (NJ)
159437,441011799,Singularity Sky,2004.0,Ace
159442,765307375,The Skinner,2004,Tor Books
159446,765307359,Gridlinked,2003,Tor Books
159450,60723475,A Hoe Lot of Trouble : A Nina Quinn Mystery (Nina Quinn Mysteries),2004,Avon
159452,446614254,The Runaway Duke,2004,Warner Forever
159454,1578568234,Dragonspell,2004,Waterbrook Press
159457,373750285,The Cowboy and the Bride : Fatherhood (American Romance),2004,Harlequin
159458,843952806,The Pirate Hunter,2004,Leisure Books
159463,843952776,The Pirate Next Door,2003,Leisure Books
159468,843951338,Perils of the Heart,2002,Leisure Books
159473,1585671274,South from the Limpopo: Travels Through South Africa,2001,Overlook Press
159474,879513055,The Waiting Land: A Spell in Nepal,1990,Overlook Press
159475,879512482,Full Tilt: Ireland to India With a Bicycle,1987,Overlook Press
159476,1400050413,Maid Marian,2004,Crown Publishers
159477,743256182,Some Danger Involved : A Novel,2004,Touchstone
159478,425195279,Charming the Shrew (Berkley Sensation),2004,Berkley Publishing Group
159479,051513421X,The Devil of Kilmartin (Highland Fling Romance),2002,Jove Books
159480,380720019,Boer War,1992,Perennial
159481,380719991,Scramble for Africa...,1992,Perennial
159482,394427424,The Boer War,1979,Random House
159486,395480086,The Long Gray Line,1989,Houghton Mifflin Company
159489,373250584,It's Not You It's Me (Red Dress Ink),2004,Red Dress Ink
159491,743443721,The Innocent,2004,Atria
159492,843952067,Carnal Gift,2004,Leisure Books
159496,843951699,Sweet Release,2003,Leisure Books
159500,1569473447,Death of a Nationalist (Soho Crime),2004,Soho Crime
159501,1569473439,Law of Return,2004,Soho Crime
159502,609608541,The Quantum and the Lotus : A Journey to the Frontiers Where Science and Buddhism Meet,2001,Crown
159503,974363944,Jinxed,2004,Medallion Press
159504,312303289,The Confession,2004,St. Martin's Minotaur
159506,312302452,The Bridge of Sighs: A Novel,2003,St. Martin's Minotaur
159508,312326017,The Bridge of Sighs : A Novel,2004,St. Martin's Minotaur
159510,395619041,World War II: The best of American heritage,1991,American Heritage Press
159511,445202629,Landscape Turned Red: The Battle of Antietam,1985,Warner Books
159512,395619025,Eyewitness to World War II: The Best of American Heritage (American Heritage Library),1991,Houghton Mifflin
159513,395619068,The Civil War: The Best of American Heritage (American Heritage Library),1993.0,Houghton Mifflin Company
159514,345457714,Broken Angels,2004,Del Rey
159519,60541695,City of Pearl,2004,Eos
159521,765303906,Fudoki,2003,Tor Books
159522,312875592,The Fox Woman,2001,Tor Books
159523,312854293,The Fox Woman,2000,Tor Books
159524,195141830,Lost Christianities: The Battle for Scripture and the Faiths We Never Knew,2003,Oxford University Press
159525,375411976,A Question of Honor : The Kosciuszko Squadron: Forgotten Heroes of World War II,2003,Knopf
159526,684850133,Freedom's Daughters: The Unsung Heroines of the Civil Rights Movement from 1830 to 1970,2002,Scribner
159527,385336144,Mission Flats,2003,Delacorte Press
159529,1553164822,Green Fire,2003,Ltdbooks
159530,435900471,The Wedding of Zein and Other Sudanese Stories,1991,Heinemann
159534,2742709088,Saison de la migration vers le nord,1999,Actes Sud
159538,435900668,Season of Migration to the North,1970,Heinemann
159542,141310464,Book of Shadows (Sweep),2001,Penguin Putnam Books for Young Readers
159546,142501190,Night's Child (Sweep Super Edition),2003,Penguin USA (Paper)
159550,141311118,Blood Witch (Sweep #3),2001,Penguin Putnam Books for Young Readers
159554,142301825,Full Circle (Sweep 14),2002.0,Penguin Putnam Books for Young Readers
159558,843951419,Princess Charming,2003,Leisure Books
159559,804119694,Wild at Heart,2002,Ivy Books
159561,1843601702,The Price of Pleasure,2002,Ellora's Cave
159566,446528307,Leaving Atlanta,2002,Warner Books
159568,446690899,Leaving Atlanta: A Novel,2003,Warner Books
159570,806963379,The Little Giant Encyclopedia of Toasts &amp; Quotes,1998,Sterling Publishing
159571,399148574,In My Sister's Country,2002,Blue Hen
159574,1591840082,Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,2003,Portfolio
159575,70560587,Soldiers of Evil: The Commandants of the Nazi Concentration Camps,1988,McGraw-Hill
159576,805070206,Elvis in Jerusalem: Post-Zionism and the Americanization of Israel,2002,Metropolitan Books
159577,805066608,The Seventh Million: The Israelis and the Holocaust,2000,Owl Books (NY)
159578,426204840,So Vile a Sin (Doctor Who : the New Adventures),1997,London Bridge
159583,880297123,Brotherhood of War,1991,Dorsett Press
159584,316355569,Swimming Sweet Arrow : A Novel,2001,Back Bay Books
159585,316305995,Swimming Sweet Arrow: A Novel,2000,Little Brown and Company
159586,60536675,Bullets of Rain : A Novel of Suspense,2003,Perennial Dark Alley
159587,812525868,The Kill Riff,1989,Tor Books
159588,312930658,The Kill Riff,1988,St Martins Pr
159589,1894942345,Caviar Dreams,2003,Zumaya Pubns
159590,552549339,Buried Fire,2003,Corgi Childrens
159595,786851953,The Leap,2004,Miramax Kids
159600,375752285,Personal Memoirs: Ulysses S. Grant (Modern Library War),1999,Modern Library
159602,140437010,Personal Memoirs of U.S. Grant (Penguin Classics),1999,Penguin Books
159604,151003548,Sky Coyote: A Novel of the Company,1999,Harcourt
159606,151002991,In the Garden of Iden: A Novel of the Company,1998,Harcourt
159608,786702826,The House on the Borderland,1996,Carroll  Graf Publishers
159609,8427008368,Los Naufragos De Las Tinieblas,1983,Lectorum Pubns (J)
159610,374522359,God's Dust: A Modern Asian Journey,1990,Farrar Straus  Giroux
159611,375705368,Anglomania: A European Love Affair,2000,Vintage Books USA
159612,374164584,God's Dust: A Modern Asian Journey,1989,Farrar Straus  Giroux
159613,037550222X,The Missionary and the Libertine: Love and War in East and West,2000.0,Random House Trade
159614,618174974,The World According to Dog : Poems and Teen Voices (Bccb Blue Ribbon Nonfiction Book Award (Awards)),2003,Houghton Mifflin
159615,810920492,Norman Rockwell: A sixty year retrospective,1972,Abrams
159616,039450657X,The Norman Rockwell Poster Book / Edited,1982,Random House Value Publishing
159617,810915839,Norman Rockwell's Christmas book,1977,H. N. Abrams
159618,1854225421,Norman Rockwell: A centennial celebration,1995,Book Express
159619,791712613,Norman Rockwell's Christmas,1990,Bookthrift
159620,810904527,Norman Rockwell,1970,Harry N Abrams Inc
159621,517119218,Norman Rockwell (The Miniature Masterpieces Series),1994,Random House Value Publishing
159622,6551009,Among the Mountains: Travels through Asia,2000,Flamingo
159623,140095144,Arabian Sands (Travel Library),1985,Penguin Books
159624,736806490,The Digestive System (Human Body Systems),2000,Capstone Press
159625,031232118X,Something Borrowed,2004,St. Martin's Press
159630,590118773,Miss Nelson is Missing,1984,Scholastic
159633,374403864,Angry Arthur (Sunburst Book),1997,Farrar Straus Giroux
159634,862641985,Anyone Seen Harry Lately?,1989,Trafalgar Square
159635,525461485,Princess Chamomile Gets Her Way,1999.0,Dutton Children's Books
159636,590205579,Yo! Yes? (Caldecott Honor Books),1993,Scholastic
159637,786806419,Goosey Goose (Thingy Things),2000,Hyperion Books for Children
159638,3257701381,Die Kraft des Geistes. Auswahl aus den Schriften.,2000,Diogenes
159639,1893163008,The Way to God,1999,Berkeley Hills Books
159640,2070325709,Tous les hommes sont frÃ?Â¨res,1990,Gallimard
159641,316234087,Ed Emberley's ABC,1982,Smithmark Pub
159642,316234311,First Words: Sounds (First to Read),1987,Little Brown  Co
159644,316235970,Ed Emberley's Drawing Book of Animals,1970,Little Brown  Co
159645,609800116,Your Heart's Desire: Instructions for Creating the Life You Really Want,1997,Three Rivers Press (CA)
159646,1401901921,Diary of a Psychic: Shattering the Myths,2003,Hay House
159650,831771399,Pushkins Fairy Tales,1979,Smithmark Publishing
159653,3430174597,Top 50 - Projektmanagement. Machen Sie aus jeder Aufgabe ein Erlebnis.,2001,Econ
159654,078949647X,Re-imagine!,2003,Dorling Kindersley Publishing
159655,60971843,Thriving on Chaos : Handbook for a Management Revolution,1988,Perennial
159656,3800050617,Im Bann des FluchtrÃ?Â¤gers,2003,Ueberreuter
159657,452277744,The Beauty of Men: A Novel,1997,Plume Books
159658,688048579,The Beauty of Men: A Novel (Beauty of Men),1996,Harpercollins
159659,452263956,Nights in Aruba,1989,Plume Books
159660,452261295,Dancer from the Dance: A Novel (Plume Contemporary Fiction),1987,Plume Books
159661,929701712,Beneath a Marble Sky: A Novel of the Taj Mahal,2004,McPherson
159664,743423003,When I Was Five I Killed Myself,2001,Washington Square Press
159665,1585670391,When I Was Five I Killed Myself,2000,Overlook Press
159666,679729941,Hitler and Stalin: Parallel Lives,1993,Vintage Books USA
159667,6861296,The Fontana Dictionary of Modern Thought,1988,Fontana Press
159668,679602070,The Education of Henry Adams (Modern Library Series),1996,Modern Library
159669,067964010X,The Education of Henry Adams,1999,Modern Library
159670,192823698,The Education of Henry Adams (Oxford World's Classics),1999,Oxford University Press
159671,452009421,Democracy,1983,Plume Books
159672,395083524,The Education of Henry Adams (American Heritage Library),1964,Houghton Mifflin Co
159673,618056661,The Education of Henry Adams: An Autobiography,2000,Mariner Books
159674,306801574,The Rommel Papers (Da Capo Paperback),1982,Da Capo Press
159676,803754051,A Certain Magic,1976,Penguin USA (J)
159677,044091339X,Certain Magic,1978,Bantam Books (Mm)
159678,64432386,Sarah's Room,1991,HarperCollins Publishers
159679,140320385,Whiskers Once and Always,1992,Baker  Taylor
159680,553373412,Button Soup (Bank Street Ready-to-Read Level 2 Grades 1-3),1994,Bank Street Press
159681,761328084,My Mothers' Daughter Lb,2003,Roaring Brook
159682,969822529,Monk Who Sold His Ferrari,1996,Haunsla Corporation
159684,1401900127,Who Will Cry When You Die? Life Lessons from the Monk Who Sold His Ferrari,2002,Hay House
159686,1401900135,Leadership Wisdom from the Monk Who Sold His Ferrari: The 8 Rituals of Visionary Leaders,2003,Hay House
159688,1591820650,Rave Master #2,2002,Tokyopop
159690,99286580,Mouthing the Words,2002,Vintage
159691,786709669,Mouthing the Words: A Novel,2002,Carroll  Graf Publishers
159692,043400796X,Mouthing the Words,2001,William Heinemann
159693,786708522,Mouthing the Words,2001,Carroll  Graf Publishers
159694,60539097,How to Make Love Like a Porn Star: A Cautionary Tale,2004,Regan Books
159695,590416227,Tikki Tikki Tembo,1986,Scholastic
159698,805011668,Tikki Tikki Tembo (An Owlet Book),1989,Henry Holt and Co. (BYR)
159701,525442553,The Funny Little Woman,1983,Dutton Children's Books
159704,140116370,Les Liaisons Dangereuses,1961,Penguin Books Ltd
159706,186508400X,Follow the Blue,2001,Allen  Unwin (Australia) Pty Ltd
159708,679722971,Zen in the Art of Archery,1989,Random House
159709,75536536,Introduction To Saint Thomas Aquinas,1965,McGraw-Hill Humanities/Social Sciences/Languages
159711,872206130,Treatise on Human Nature: Summa Theologiae 1A 75-89 (The Hackett Aquinas Project),2002,Hackett Publishing Company
159713,727913689,ABC of Sexually Transmitted Diseases,1998,J a Majors Co
159714,155011278,Interplay,1994,Harcourt School Pub
159715,750906871,The Wyvern Mystery,2000,Sutton Publishing
159719,451526392,Carmilla and 12 Other Classic Tales of Mystery,1996,Signet Classics
159727,3442309174,Die Umarmung des Todes.,2003,Goldmann
159729,4770029055,Out,2003,Kodansha International (JPN)
159731,352334916,Hard Corps (Black Lace),2000,Black Lace
159734,039923019X,The Seven Songs of Merlin (Lost Years of Merlin (Hardcover)),1997,Philomel Books
159736,1582971595,The Complete Handbook of Novel Writing: Everything You Need to Know About Creating &amp; Selling Your Work,2002,Writer's Digest Books
159737,809125811,Spirit of the Earth,1984,Paulist Pr
159740,871568136,Walking Softly in the Wilderness,1984,Sierra Club Books for Children
159743,006097723X,Mukiwa: A White Boy in Africa,1997,Perennial
159744,738703486,The Circle Within: Creating a Wiccan Spiritual Tradition,2003,Llewellyn Publications
159747,1584852038,The Secret Voice of Gina Zhang (Ag Fiction (American Girl)),2000,Pleasant Company Publications
159748,1557783713,Passionate Pilgrim: The Extraordinary Life of Alma Reed,1993,Paragon House Publishers
159749,1931514593,Mars #2,2002,Tokyopop
159752,1591820723,MARS #7,2002,Tokyopop
159755,1591820553,Mars #4,2002,Tokyopop
159758,1931514585,Mars #1,2002,Tokyopop
159761,1592231497,Uncle John's Presents: Book of the Dumb (Bathroom Reader Series),2003,Portable Press
159766,1858289394,The Rough Guide to the Universe (Rough Guide Reference),2003,Rough Guides Limited
159771,395067995,The Complete Tales of Uncle Remus,1955,Houghton Mifflin Company
159772,1563897504,Crisis on Infinite Earths,2001,DC Comics
159773,671814451,FANTASTIC 4,1977,Pocket
159774,671820443,MAYHEM MANHATTAN,1978,Pocket
159776,8420616419,AntologÃ­a poÃ©tica (SecciÃ³n Literatura),1977,Alianza Editorial
159777,9500305372,Niebla - 622,1998,Losada
159778,9561305291,NADA Menos Que Todo Un Hombre,1998,Andres Bello
159779,8476001584,Educacion y Sociologia en Espana: Seleccion de Textos (Serie EducaciÃ³n),1997,Akal Ediciones
159780,449907538,Praying for Sheetrock: A Work of Nonfiction,1992,Ballantine Books
159781,201550482,Praying for Sheetrock: A Work of Nonfiction,1991,Addison Wesley Publishing Company
159782,449908097,The Temple Bombing,1997,Fawcett Books
159783,1559273844,The Temple Bombing,1996,Audio Renaissance
159784,201622068,The Temple Bombing,1996,Perseus Books Group
159785,156443562,The Informer,1980,Harvest Books
159786,863270433,Famine (Great Contemporary Authors),2000,Irish American Book Company
159787,039609130X,The Wilderness,1987,Granite Impex Ltd
159788,863276288,Return of the Brute,1998,Wolfhound Press (IE)
159789,863273696,Skerrett,1998,Irish American Book Company
159790,140069232,The Stepdaughter (King Penguin S.),1984,Penguin Books Ltd
159791,679439706,The Last of the Duchess,1995,Random House Inc
159792,140077324,Corrigan,1986.0,Penguin USA
159793,477001922X,All She Was Worth,1997,Kodansha International (JPN)
159794,2877304418,La librairie Tanabe,2001,Philippe Picquier
159795,395966582,All She Was Worth,1999,Mariner Books
159796,9029051787,Eindelijk oorlog: Roman (Meulenhoff editie),1996,Meulenhoff
159798,1577310241,The Inscrutable Americans,1997,Pub Group West
159799,670031763,River of Shadows: Eadweard Muybridge and the Technological Wild West,2003,Viking Books
159800,140286012,Wanderlust: A History of Walking,2001,Penguin Books
159801,670882097,Wanderlust: A History of Walking,2000,Viking Books
159802,1859847943,Hollow City: Gentrification and the Eviction of Urban Culture,2001,Verso
159803,786888156,Erasure,2002,Hyperion
159804,3442453577,Das Geheimnis der Kaschmir- Rose. Roman.,2003,Goldmann
159805,786712465,Ragtime in Simla: The Second in the Detective Joe Sandilands Series,2003,Carroll  Graf Publishers
159806,517701723,7 Tattoos: A Memoir in the Flesh,1997,Crown Publishers
159807,140273905,7 Tattoos: A Memoir in the Flesh,1998,Penguin Books
159808,1573220582,Buddhism Without Beliefs: A Contemporary Guide to Awakening,1997,Riverhead Books
159809,747537690,Buddhism Without Beliefs,1998,Bloomsbury
159810,1573226564,Buddhism Without Beliefs: A Contemporary Guide to Awakening,1998,Riverhead Books
159811,786818379,Confessions of a Not it Girl,2004,Hyperion Books for Children
159813,373512600,On the Mend,2003,Harlequin
159815,263827143,Emergency - Mother Wanted (Medical Romance),2002,Harlequin Mills  Boon Ltd
159817,1570270740,The Passionate Mistakes and Intricate Corruption of One Girl in America (Native Agents),1998,Semiotext(e)
159818,1580050352,Valencia,2000,Seal Press (WA)
159819,1580050735,The Chelsea Whistle (Live Girls Series),2002,Last Gasp
159820,340822481,China Lake: Where Belief Becomes Obsession,2002,Hodder  Stoughton General Division
159821,29253608,COMPETITIVE STRATEGY : TECHNIQUES FOR ANALYZING INDUSTRIES AND COMPETITORS,1980,Free Press
159822,684841487,COMPETITIVE STRATEGY : TECHNIQUES FOR ANALYZING INDUSTRIES AND COMPETITORS,1998,Free Press
159823,684841460,Competitive Advantage : Creating and Sustaining Superior Performance,1998,Free Press
159824,394747704,The Gold Cell (Knopf Poetry Series),1987,Alfred A. Knopf
159825,679765603,The Wellspring: Poems,1996,Alfred A. Knopf
159827,3446107673,SÃ¤mtliche Werke und Briefe,1977,Hanser
159829,316109304,The Ascent of Man,1974,Little Brown  Co
159830,61330019,Western Intellectual,1962,Perennial
159831,316109339,The Ascent of Man,1976,Little Brown  Co
159832,262021285,A sense of the future: Essays in natural philosophy,1977,MIT Press
159833,1591020255,The Identity of Man (Great Minds Series),2002,Prometheus Books
159834,300024096,Origins of Knowledge and Imagination (Country Series),1979.0,Yale University Press
159835,446692867,English as a Second Language,2004,Warner Books
159837,553270036,The Cage,1988,Bantam Books
159839,068981321X,The Cage,1997,Simon Pulse
159841,140343679,To Life,1990,Penguin USA
159843,671635174,BASIL BAKER ST MINSTREL,1988,Aladdin
159844,553348884,Anatole and the Piano (Little Rooster),1990,Bantam Books
159845,553348701,Anatole,1990,Bantam Books
159846,679437649,Strange Beauty: Murray Gell-Mann and the Revolution in Twentieth-Century Physics,1999,Random House Inc
159847,874772753,Architects of Fear: Conspiracy Theories and Paranoia in American Politics,1983,Putnam Pub Group
159848,394583485,In the Palaces of Memory: How We Build the Worlds Inside Our Heads,1991,Alfred A. Knopf
159849,1591823382,Gravitation (Gravitation),2004,TokyoPop
159850,1591823390,Gravitation (Gravitation),2004,TokyoPop
159851,553483102,On the Edge: Four True Stories of Extreme Outdoor Sports Adventures (Sports Illustrated for Kids),1995,Bantam Books for Young Readers
159852,743400682,Farther Than Any Man : The Rise and Fall of Captain James Cook,2001,Atria
159853,836828968,Schnitzel Von Krumm Forget-Me-Not (Gold Star First Readers),2001,Gareth Stevens Publishing
159854,836827848,Slinky Malinki (Gold Star First Readers),2001,Gareth Stevens Publishing
159855,140545506,Hairy Maclary's Showbusiness,1993,Penguin Books
159856,140207341,The Divided Self (Pelican S.),1970,Penguin Books Ltd
159858,1400042305,Stalin : The Court of the Red Tsar,2004,Knopf
159859,375754822,American Fictions (Modern Library (Paperback)),1999,Modern Library
159860,940322722,Sleepless Nights (New York Review Books Classics),2001,New York Review of Books
159861,679601503,The Decline and Fall of the Roman Empire (Vol III (Modern Library)),1995,Modern Library
159862,140431896,The Decline and Fall of the Roman Empire: An Abridged Version (Penguin Classics),1983,Penguin Books
159863,140437649,The History of the Decline and Fall of the Roman Empire (Penguin Classics),2001,Penguin Books
159864,140432175,Memoirs of My Life (Penguin Classics),1990,Penguin USA
159865,3821844973,Verfall und Untergang des RÃ?Â¶mischen Reiches. Die Andere Bibliothek - Erfolgsausgabe,2000,Eichborn
159866,880292059,Kabbalah (Dorset Press Reprint Series),1988,Buccaneer Books Inc
159867,805210342,Zohar: The Book of Splendor : Basic Readings from the Kabbalah,1995,Schocken Books
159868,452010071,Kabbalah,1987,Plume Books
159869,805210423,Major Trends in Jewish Mysticism,1995,Schocken Books
159870,802851940,The Great Stone Face: A Tale by Nathanial Hawthorne,2002,Eerdmans Books for Young Readers
159872,60964316,A Short History of Reconstruction,1990,Perennial
159874,195021827,Tom Paine and Revolutionary America,1977,Oxford University Press
159876,807111899,Nothing but Freedom: Emancipation and Its Legacy (Walter Lynwood Fleming Lectures in Southern History (Paperback)),1984,Louisiana State University Press
159878,744590558,Stoner and Spaz,2002,Walker Books
159879,803253710,The Country Wife (Regents Restoration Drama Ser.),1965,University of Nebraska Press
159880,393900630,Country Wife (New Mermaids),1991,W. W. Norton  Company
159881,394846974,Landing of the Pilgrims (Landmark Books),1987,Random House Children's Books
159882,1569310963,Nausicaa of the Valley of Wind : Perfect Collection (Vol 1),1995,Viz Communications
159885,355177045X,Spirited Away 05. Chihiros Reise ins Zauberland,2003,Carlsen
159888,3551770441,Spirited Away 04. Chihiros Reise ins Zauberland,2003,Carlsen
159891,3551770433,Spirited Away 03. Chihiros Reise ins Zauberland,2003,Carlsen
159894,3551770425,Spirited Away 02. Chihiros Reise ins Zauberland,2002,Carlsen
159897,3551770417,Spirited Away 01. Chihiros Reise ins Zauberland,2002,Carlsen
159900,1569311110,Nausicaa of the Valley of Wind : Perfect Collection (Vol 3),1996,Viz Communications
159903,1569310874,Nausicaa of the Valley of Wind : Perfect Collection (Vol 2),1995,Viz Communications
159906,879514256,Titus Groan (Gormenghast Trilogy),1992,Overlook Press
159910,345235185,Titus Groan,1973,Ballantine Books
159914,8445074563,Titus Groan,2003,Planeta Pub Corp
159918,486232522,Une Semaine De BontÂ±E: A Surrealistic Novel in Collage,1976,Dover Publications
159919,140435905,The Golden Ass: Or Metamorphoses (Penguin Classics),1999,Penguin Books
159920,670875708,The Measure of Our Days: New Beginnings at Life's End,1997,Viking Books
159921,014026972X,The Measure of Our Days: A Spiritual Exploration of Illness,1998,Penguin Books
159922,879239638,The Nose,1993,David R. Godine Publisher
159925,2290328480,Le journal d'un fou,2002,J'ai lu
159928,1566890977,Summit Avenue,2000,Coffee House Press
159930,66620694,The Innovator's Dilemma: The Revolutionary National Bestseller That Changed The Way We Do Business,2000,HarperCollins Publishers
159932,60509120,The Last Chance Texaco,2004,HarperTempest
159934,60012218,Geography Club,2003,HarperTempest
159936,60541385,The Key to the Golden Firebird,2004,HarperCollins
159941,892833653,On camera and off the story of my life,1987,Servant Books
159942,553200909,Little Britches,1981,Bantam Books (Mm)
159943,803281951,Man of the Family,1993,University of Nebraska Press
159944,803282109,The Home Ranch,1994,University of Nebraska Press
159945,803281781,Little Britches: Father and I Were Ranchers,1991,University of Nebraska Press
159946,803282117,Mary Emma &amp; Company,1994,University of Nebraska Press
159947,760754306,Come on Seabiscuit!,2004,Barnes  Noble
159948,899668313,The Fields of Home,1991,Buccaneer Books
159949,520009290,Sir Isaac Newton's Mathematical Principles of Natural Philosophy and His System of the World: The System of the World,1962,Univ of California Pr
159952,520009282,Principia : Vol. 1 The Motion of Bodies,1962,Univ of California Pr
159955,520088174,The Principia : Mathematical Principles of Natural Philosophy,1999,University of California Press
159958,806505362,The Ethics of Spinoza: The Road to Inner Freedom,2000,Citadel Press
159959,684833247,CO AYTCH,1997,Touchstone
159960,1580630790,The New Prince: Machiavelli Updated for the Twenty-First Century,1999,St Martins Pr
159962,60736682,Rewriting History,2004,Regan Books
159964,1400082773,Dreams from My Father : A Story of Race and Inheritance,2004,Three Rivers Press
159966,679743138,Black Power: The Politics of Liberation in America,1992,Vintage Books USA
159967,813113725,River of Earth,1978,University Press of Kentucky
159968,813109655,Sporty Creek,1999,University Press of Kentucky
159969,345287223,Topper,1980,Del Rey Books
159970,345287274,Rain in the Doorway,1980,Del Rey Books
159971,345287266,Night Life of the Gods,1980,Del Rey Books
159972,345287258,Turnabout,1980,Del Rey Books
159973,034528724X,The Stray Lamb,1980,Del Rey Books
159974,451623207,Democracy in America,1981,Signet Book
159976,226805360,Democracy in America,2002,University of Chicago Press
159978,2080703544,De la democratie en amerique 2,1981,Schoenhofs Foreign Books
159980,385092601,The Old Regime and the French Revolution,1955,Doubleday Books
159982,899668186,The Old Man and the Boy,1991,Buccaneer Books
159983,9997413083,Uhuru: A Novel of Africa Today,1962,McGraw Hill (Tx)
159984,1859846947,In Search of Fatima: A Palestinian Story,2002,Verso
159985,192816454,Vathek (The World's Classics),1983,Oxford University Press
159986,802130704,The Complete Plays (Black Cat Book),1978,Grove Press
159987,1567921051,Borstal Boy,2000,David R. Godine Publisher
159988,413311902,The Hostage (Methuen Modern Plays),1959,Methuen Publishing Ltd
159989,312872097,The Standing Dead: Book Two of the Stone Dance of the Chameleon,2003,Tor Books
159990,1883523427,The Elegant Gathering of White Snows,2002,Spinsters Ink
159991,688094597,A Quick Kiss of Redemption and Other Stories: &amp; Other Stories,1991,Harpercollins
159992,440168414,The Passing Bells,1982,Dell Publishing Company
159993,340396474,A Future Arrived,1987,Hodder  Stoughton General Division
159994,872235181,Passing-Bells,1979,Putnam Pub Group
159995,440113202,Circles of Time,1982,Dell Publishing Company
159996,747278342,1915 the Death of Innocence,0,Trafalgar Square
159997,966940008,Out Of The Darkness: The Story of Mary Ellen Wilson,1999,Dolphin Moon Publishing
159998,971816425,Oriental Odyssey III: Travel Adventures in Kurdistan,2003,Nemsi Books
160000,515089761,Ashes to Gold,1987,Jove Books
160002,375714324,Schooling,2002,Vintage Books USA
160003,385501382,Schooling,2001,Doubleday Books
160004,393318869,What the Living Do: Poems,1999,W.W. Norton  Company
160005,044632342X,The Pendragon,1984,Warner Books
160006,500016933,The True History of Chocolate,1996,W W Norton  Co Inc
160007,500282293,The True History of Chocolate,2000,Thames  Hudson
160008,838577016,Principles of Neural Science,2000,McGraw-Hill/Appleton  Lange
160010,2264027347,Les infortunes de la vertu,1999,Editions 10/18
